match_round,match_home_team,match_away_team,player_team,player_id,player_name,pred_0,pred_1,pred_2,pred_3,expected_votes,predicted_votes
1,Richmond,Carlton,Richmond,11801,Dustin Martin,0.031619213,0.065379267,0.109271254,0.793730266,2.665112573,3
1,Richmond,Carlton,Richmond,12584,Jack Graham,0.060717546,0.352982697,0.385911434,0.200388331,1.725970558,2
1,Richmond,Carlton,Carlton,12685,Sam Walsh,0.114030289,0.400626026,0.322120292,0.163223385,1.534536765,1
1,Collingwood,Western Bulldogs,Western Bulldogs,12698,Bailey Smith,0.035158436,0.108348912,0.152270209,0.704222454,2.525556692,3
1,Collingwood,Western Bulldogs,Western Bulldogs,12172,Jack Macrae,0.058093457,0.28643655,0.389578935,0.265891074,1.86326764,2
1,Collingwood,Western Bulldogs,Collingwood,12381,Darcy Moore,0.112767385,0.361466993,0.341751248,0.184014382,1.597012633,1
1,Melbourne,Fremantle,Melbourne,11945,Steven May,0.055597081,0.240762131,0.283596707,0.420044072,2.068087763,3
1,Melbourne,Fremantle,Melbourne,12411,Clayton Oliver,0.063258727,0.272801603,0.387283503,0.276656152,1.877337066,2
1,Melbourne,Fremantle,Melbourne,12359,Jake Lever,0.1016453,0.370845891,0.330552072,0.196956745,1.622820268,1
1,Adelaide,Geelong,Adelaide,11724,Taylor Walker,0.037534134,0.087509869,0.179251647,0.69570432,2.533126122,3
1,Adelaide,Geelong,Adelaide,12171,Rory Laird,0.075825174,0.340330024,0.389230804,0.19461399,1.702633603,2
1,Adelaide,Geelong,Adelaide,11799,Rory Sloane,0.122151944,0.410241273,0.323690517,0.143916252,1.489371061,1
1,Essendon,Hawthorn,Hawthorn,12201,Tom Mitchell,0.043111047,0.132830523,0.260646918,0.563411512,2.344358896,3
1,Essendon,Hawthorn,Essendon,12505,Andrew McGrath,0.059647222,0.327252388,0.40278553,0.210314849,1.763767995,2
1,Essendon,Hawthorn,Hawthorn,12149,Jaeger O'Meara,0.104814952,0.300812249,0.39980926,0.194563524,1.684121341,1
1,Brisbane Lions,Sydney,Sydney,12418,Callum Mills,0.036400057,0.080728165,0.173352505,0.709519291,2.555991049,3
1,Brisbane Lions,Sydney,Sydney,12864,Errol Gulden,0.05742799,0.304740886,0.36772925,0.270101896,1.850505076,2
1,Brisbane Lions,Sydney,Sydney,12331,Isaac Heeney,0.104029628,0.375910073,0.32448065,0.195579643,1.6116103,1
1,North Melbourne,Port Adelaide,Port Adelaide,11591,Travis Boak,0.036039747,0.091753314,0.162161941,0.710044967,2.546212098,3
